Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Green Build,Y06,GREE.SI,3.942,3.369,3.25,,Industrial & Commercial Services,56
GRP,BLU,GRPS.SI,12.203,9.224,,,Automobiles & Auto Parts,53
GS Hldg,43A,GSHO.SI,33.83,5.964,,,Industrial & Commercial Services,37
GSH,BDX,GSHC.SI,345.981,95.78,,,Industrial & Commercial Services,82
GSS Energy,41F,GSSE.SI,37.812,117.488,6.16,,Industrial Goods,84
Guoan Intl,G11,0143.HK,387.448,168.839,,,Technology Equipment,
GuocoLand,F17,GUOC.SI,1857.896,986.88,9.52,3.82,Real Estate,96
GYP Properties,AWS,GYPP.SI,43.858,22.188,,,Real Estate,58
H2G Green,5AI,P5CA.SI,16.549,6.108,,,Cyclical Consumer Products,63
Hafary,5VS,HFRY.SI,86.11,130.095,7.43,7.5,Cyclical Consumer Products,82
Hai Leck,BLH,HLHL.SI,99.701,74.679,9.43,9.09,Energy - Fossil Fuels,48
Halcyon Agri,5VJ,HALC.SI,363.901,3396.275,66.63,,Automobiles & Auto Parts,97
Hatten Land,PH0,HATT.SI,62.506,1.536,,,Real Estate,35
Haw Par,H02,HPAR.SI,2479.323,141.18,22.51,2.68,Pharmaceuticals & Medical Research,99
HC Surgical,1B1,HCSU.SI,68.128,22.787,8.78,8.89,Healthcare Services,66
HealthBank,40B,HEAL.SI,7.4,0.02,,,Cyclical Consumer Services,84
Healthway Med,5NG,HEMC.SI,140.603,139.922,13.03,,Healthcare Services,100
Heatec Jietong,5OR,HTJT.SI,3.443,22.313,,,Cyclical Consumer Products,57
Heeton,5DP,HEET.SI,131.688,50.447,6.99,1.39,Real Estate,74
Hengyang Petro,5PD,HNYG.SI,49.782,,,,Energy - Fossil Fuels,50
HG Metal,BTG,HGMM.SI,48.326,142.267,3.9,10.81,Mineral Resources,46
HGH,5GZ,HGHH.SI,21.37,20.071,,,Mineral Resources,6
Hiap Hoe,5JK,HIAP.SI,353.545,93.688,16.53,0.67,Real Estate,92
Hiap Seng,510,HSEN.SI,6.308,118.445,,,Industrial & Commercial Services,62
Hiap Tong,5PO,HTCL.SI,20.64,69.306,10.06,,Banking & Investment Services,69
HL Global Ent,AVX,HLGE.SI,28.175,2.458,,,Cyclical Consumer Services,53
Ho Bee Land,H13,HBEE.SI,1948.246,347.693,5.57,3.61,Real Estate,54
Hock Lian Seng,J2T,HLSG.SI,135.708,168.615,5.4,4.72,Industrial & Commercial Services,55
Hoe Leong,H20,HLEC.SI,27.405,45.458,12.5,,Industrial Goods,49
Hong Fok,H30,HONG.SI,787.904,90.501,15.52,1.1,Real Estate,61
Hong Lai Huat,CTO,HONL.SI,47.124,16.727,5.12,2.2,Real Estate,73
